,%IncMSE,IncNodePurity
Lymph Nodes Positive,17.26473436,7.377554022
Lymph Nodes Cleaned,11.11082829,7.164852413
Lymphatic Invasion,10.94825552,3.015670398
Node Dissection Extent,10.00114226,1.901057768
Grouped Invasion Depth,9.233727539,1.525722642
Invasion Depth,7.07819763,1.357616016
NLR,5.923695095,3.828282162
PLR,4.90731507,4.294253934
Albumin Level,4.868908022,5.200026762
Borrmann Type,3.929365539,1.148379571
Lymphocyte Count,3.563505627,2.759803254
Pathology Type,3.529738525,1.1194953
BMI,2.107007323,5.026568472
Age,2.102721571,4.060931549
Platelet Count,2.055400043,4.365228679
Neutrophil Count,0.979670333,3.049977258
Hemoglobin PreOp,0.924861246,3.534731838
WBC Count,0.515697669,3.682212917
Monocyte Count,0.495107411,2.242687928
Histology Type,-0.024338364,1.288211228
TNM Stage,-1.102391191,1.121246542
Gender,-1.649912814,0.396838684
ASA Score,-1.816803445,0.477369428
