,level,0,1,p,test
n,,712,97,,
Gender (%),F,   162 (22.8) ,    21 (21.6) ,0.909,
,M,   550 (77.2) ,    76 (78.4) ,,
Age (mean (SD)),, 63.66 (11.21), 64.03 (11.61),0.76,
BMI (mean (SD)),, 21.82 (3.09), 21.09 (3.18),0.03,
ASA_Score (%),I,    41 ( 5.8) ,     5 ( 5.2) ,0.969,
,II,   607 (85.3) ,    83 (85.6) ,,
,III,    64 ( 9.0) ,     9 ( 9.3) ,,
TNM_Stage (%),I,   184 (25.8) ,    22 (22.7) ,0.833,
,II,    52 ( 7.3) ,     8 ( 8.2) ,,
,III,   364 (51.1) ,    49 (50.5) ,,
,IV,   112 (15.7) ,    18 (18.6) ,,
Platelet_Lymphocyte_Ratio (mean (SD)),,149.08 (74.37),168.15 (76.30),0.018,
Neutrophil_Lymphocyte_Ratio (mean (SD)),,  2.58 (1.58),  2.85 (1.64),0.121,
Hemoglobin_PreOp (mean (SD)),,117.95 (23.98),112.51 (22.88),0.035,
Platelet_Count (mean (SD)),,226.51 (69.20),241.88 (72.66),0.042,
Albumin_Level (mean (SD)),, 39.68 (4.97), 38.71 (4.91),0.072,
Neutrophil_Count (mean (SD)),,  4.16 (4.56),  4.04 (1.35),0.801,
Lymphocyte_Count (mean (SD)),,  1.86 (2.32),  1.58 (0.50),0.234,
Monocyte_Count (mean (SD)),,  0.46 (0.42),  0.39 (0.16),0.145,
WBC_Count (mean (SD)),,  6.12 (1.58),  6.19 (1.54),0.7,
Histology_Type (%),1,    72 (10.1) ,     3 ( 3.1) ,0.009,
,2,   130 (18.3) ,     9 ( 9.3) ,,
,3,   363 (51.0) ,    61 (62.9) ,,
,4,   147 (20.6) ,    24 (24.7) ,,
Borrmann_Type (%),1,    32 ( 4.5) ,     7 ( 7.2) ,0.023,
,2,   633 (88.9) ,    77 (79.4) ,,
,3,    47 ( 6.6) ,    13 (13.4) ,,
Pathology_Type (%),0,    80 (11.2) ,    19 (19.6) ,0.029,
,1,   632 (88.8) ,    78 (80.4) ,,
Invasion_Depth (%),1,   144 (20.2) ,     1 ( 1.0) ,<0.001,
,2,   113 (15.9) ,     4 ( 4.1) ,,
,3,   455 (63.9) ,    92 (94.8) ,,
Invasion_Depth_Grouped (%),1,   257 (36.1) ,     5 ( 5.2) ,<0.001,
,2,   455 (63.9) ,    92 (94.8) ,,
Lymph_Nodes_Cleaned (mean (SD)),, 19.53 (10.12), 16.76 (9.74),0.011,
Lymph_Nodes_Positive (mean (SD)),,  4.21 (6.11),  8.29 (7.03),<0.001,
Lymphatic_Invasion (%),0,   277 (38.9) ,     8 ( 8.2) ,<0.001,
,1,   123 (17.3) ,    15 (15.5) ,,
,2,   158 (22.2) ,    23 (23.7) ,,
,3,   154 (21.6) ,    51 (52.6) ,,
Node_Dissection_Extent (%),1,    36 ( 5.1) ,    18 (18.6) ,<0.001,
,2,   676 (94.9) ,    79 (81.4) ,,
